<eps>	sil
teni	tʰ i n i e
tenteke	tʰ ɤ z ɤ
terakv	tʰ i ɾ ɤ ɢ ɯ
tere	tʰ ɤ ɾ ɤ
terei	t ɤ ɾ ɤ
tereningge	tʰ ɤ ɾ ɤ n iŋ
tese	tʰ ɤ z ɤ
tesu	tʰ ɤ ɾ ɤ
tofohon	tʰ o f o x u n
tohon	tʰ ɔ x u n
tubade	tʰ ɤ p ɤ t ɤ
tubihe	tʰ u e p i x
tucike	tʰ u e tɕʰ i k ɤ
tucinjifi	tɕʰ i x i n tɕ i f i
tugi	tʰ u e k i
tuheke	tʰ u n a k ɤ
tuheme	tʰ u n a m
tulergi	tʰ u l ɤ k i
tulergi	tʰ u l ɤ k i
tulhun	tʰ u l u ʁ u n
tumin	t y m i n
tursun	t u ɾ s u n
tusa	tʰ u ʐ a
tutala	tʰ u tʰ a l ɤ
tutala	tʰ u tʰ a l ɤ
tuttu	tʰ ɤ z ɤ
tuttu-oci	tʰ ɤ z ɤ tɕʰ i
tuwa	tʰ a
tuwaci	tʰ a tɕʰ i
tuwai	tʰ u a
tuwakiyaci	tʰ æ tɕ i tɕʰ i
tuwambi	t a m i e
tuwame	tʰ a m
tuwaname	tʰ a n a m
tuwanjici	tʰ a m tɕ i tɕʰ i
tuwanjihe	tʰ a m tɕ i ʁ ɤ
tuwanjihegge	tʰ a v a n tɕ i x n iŋ ŋ ɤ
tuwanjimbi	t a m tɕ i m i
tuwara	tʰ a ɾ
tuwarade	tʰ a ɾ t ɤ
tuweri	tʰ u e ɾ i
ubaci	ɤ v ɤ tɕʰ i
ubade	ɤ v u t ɤ
ucuri	u tɕʰ i ɾ
udacina	u t a tɕʰ i n a
udafi	u t a f
udaki	u t a kʰ i
udambi	u t a m i e
udambi	u t a m i e
udame	u t a m
udara	u t a ɾ a
udu	u t u
ududu	u t u
ufime	i v i m
uhure	u ʁ u ɾ ɤ
ujiki	u tɕ i kʰ i
uju	u ʐ u
uksura	u k s u ɾ ɤ
ula	u l ɤ
ulanduha	u l a n t u ʁ ɤ
ulhimbi	u l k i m i
ulhimbio	u l k i m n o
ulme	u l m ɤ
ume	ɤ m
umesi	ɤ m ɤ ʂ
umhan	u m a n
